項次,補助縣市,申請補(捐)助單位,核准日期,活動名稱,活動時間(起),活動時間(迄),活動地點,核准補助金額(千元),核准理由(預期效益),核准補助金額(元)
4654,臺中市龍井區,財團法人台中市私立銀同碧湖陳氏社會福利基金會,#####,辦理106年度敬老、獎學金、成年禮、績優義工表揚暨支持能源開發宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
4662,臺中市龍井區,臺中市龍井區龍東社區發展協會,#####,辦理關懷老人戶外交流暨推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
4694,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,辦理志工與長青境外績優關懷據點參訪與實務交流暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
4703,臺中市龍井區,臺中市龍井區福田腳社區發展協會,#####,辦理敬老文化觀摩及關懷老人健康養生暨節能減碳及推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
4711,臺中市龍井區,臺中市龍井區公所,#####,辦理烏日警察志工中隊龍井分隊「106年度志工業務觀摩暨節能減碳及推廣乾淨能源政策宣導活動」,#####,#####,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
4721,臺中市龍井區,臺中市龍井區公所,#####,辦理龍津里環保志工第三小隊「106年社區文化觀摩暨節能減碳宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
4732,臺中市龍井區,臺中市龍井區竹坑社區發展協會,#####,辦理106年文化觀摩暨節能減碳及推廣乾淨能源宣導活動,#####,#####,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
4807,臺中市龍井區,臺中市龍井區公所,#####,辦理臺中市民防總隊義勇警察大隊烏日中隊龍東隊「績優人員表揚暨節能減碳及推廣乾淨能源政策宣導活動」,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
4845,臺中市龍井區,臺中市大肚區大肚社區發展協會,#####,辦理106年度大肚里環保義工隊文化觀摩暨節約能源宣導活動,#####,#####,嘉義地區,10,加強地方關係、促進電源開發及節約用電,10000
4855,臺中市龍井區,臺中市龍井區公所,#####,辦理山腳里環保志工第五小隊「106年度環保志工戶外參訪暨支持電源開發推廣乾淨能源宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
4870,臺中市龍井區,臺中市龍井區東海社區發展協會,#####,辦理長壽俱樂部文化觀摩暨節能減碳宣導活動,#####,#####,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
4897,臺中市龍井區,臺中市龍井區龍津社區發展協會,#####,辦理106年度社區志工業務座談會暨推廣乾淨能源政策宣導活動,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
4900,臺中市龍井區,臺中市太極拳華陀五禽之戲協會,#####,辦理106年度太極拳武藝研習暨節約能源宣導活動,#####,#####,沙鹿區,10,加強地方關係、促進電源開發及節約用電,10000
4920,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,「志工與長青境外績優關懷據點參訪與實務交流暨節能減碳及推廣潔淨能源政策宣導活動」,#####,#####,南部,20,敦親睦鄰提升企業形象,20000
4926,臺中市龍井區,臺中市龍井區老人會,#####,辦理106年戶政法令及人口政策宣導講座暨推廣節能減碳宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
4953,臺中市龍井區,臺中市龍井區公所,#####,辦理龍津里環保志工第四小隊「106年跨縣市觀摩暨節能減碳宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
4966,臺中市龍井區,孫世妹,#####,發放急難救助金,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
4989,臺中市龍井區,臺中市龍井區公所,#####,發放急難救助金,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
4999,臺中市龍井區,臺中市龍井區交通義工服務協會,#####,辦理106年度義工服務文化觀摩暨推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
5029,臺中市龍井區,台電公司台中供電區營運處,#####,協助中港變電所所在地消防隊山林滅火工作及開發電源宣導等活動,#####,#####,台中市龍井區新庄里消防隊隊部,10,加強地方關係、促進電源開發及節約用電,10000
